,lodAIC,model,property,pid,short_response
27,pid_graph:AP62740C74,mistral-small,metadata, CONFIDENT          ,No Metadata Schema Prescribed
28,pid_graph:AP15276F85,mistral-small,structure, CONFIDENT        ,Predefined Identifier Structure
29,pid_graph:AP3C2929DB,mistral-small,governance, CONFIDENT        ,Community Governance
30,pid_graph:AP2F8F3DC5,mistral-small,metadata, CrossRef Funders          ,Metadata Schema per Entity
31,pid_graph:AP08AAEED8,mistral-small,structure, CrossRef Funders        ,Allows Managed Prefix
32,pid_graph:AP046A3F1F,mistral-small,governance, CrossRef Funders        ,Community Governance
33,pid_graph:AP34F621FC,mistral-small,metadata, CrossRef Grant          ,Metadata Schema per Entity
34,pid_graph:APFB26EEDB,mistral-small,structure, CrossRef Grant        ,Allows Managed Prefix
35,pid_graph:AP0C1F4700,mistral-small,governance, CrossRef Grant        ,Community Governance
36,pid_graph:AP9A082261,mistral-small,metadata, CURIE          ,No Metadata Schema Prescribed
37,pid_graph:AP90676427,mistral-small,structure, CURIE        ,Allows Managed Prefix
38,pid_graph:AP1FE199A6,mistral-small,governance, CURIE        ,Community Governance
39,pid_graph:APE2E3B141,mistral-small,metadata, DAI          ,No Metadata Schema Prescribed
40,pid_graph:APC7F7F98B,mistral-small,structure, DAI        ,Unknown
41,pid_graph:AP00A55CCA,mistral-small,governance, DAI        ,Unknown
42,pid_graph:APA1181F6B,mistral-small,metadata, dbGaP ID          ,Metadata Schema per Entity
43,pid_graph:AP8F6CD222,mistral-small,structure, dbGaP ID        ,Allows Managed Prefix
44,pid_graph:AP6247D51F,mistral-small,governance, dbGaP ID        ,Community Governance
45,pid_graph:AP5B4B5F07,mistral-small,metadata, dbVar ID          ,Metadata Schema per Entity
46,pid_graph:AP245F4723,mistral-small,structure, dbVar ID        ,Allows Managed Prefix
47,pid_graph:AP96AA0574,mistral-small,governance, dbVar ID        ,Community Governance
48,pid_graph:AP1C60B7EA,mistral-small,metadata, DCO-ID          ,Metadata Schema per Entity
49,pid_graph:AP3EC1FFD1,mistral-small,structure, DCO-ID        ,Allows Managed Prefix
50,pid_graph:AP85C9186E,mistral-small,governance, DCO-ID        ,Community Governance
51,pid_graph:APD8464268,mistral-small,metadata, DOI          ,Metadata Schema per Entity
52,pid_graph:APC985FA57,mistral-small,structure, DOI        ,Allows Managed Prefix
53,pid_graph:AP41AA8E61,mistral-small,governance, DOI        ,Community Governance
54,pid_graph:AP58AEA18C,mistral-small,metadata, DOI: Crossref          ,Metadata Schema per Entity
55,pid_graph:AP8AA0E954,mistral-small,structure, DOI: Crossref        ,Predefined Identifier Structure
56,pid_graph:APD1C47121,mistral-small,governance, DOI: Crossref        ,Membership Governance
57,pid_graph:AP7A44AFCB,mistral-small,metadata, DOI: DataCIte          ,Metadata Schema per Entity
58,pid_graph:AP4A2FEC92,mistral-small,structure, DOI: DataCIte        ,Predefined Identifier Structure
59,pid_graph:AP623FE676,mistral-small,governance, DOI: DataCIte        ,Community Governance
60,pid_graph:AP0F9B1874,mistral-small,metadata, dPID          ,Unknown
61,pid_graph:AP512B7AD9,mistral-small,structure, dPID        ,Unknown
62,pid_graph:AP4FF551F8,mistral-small,governance, dPID        ,Unknown
63,pid_graph:APDFF4B4F1,mistral-small,metadata, EAN13          ,No Metadata Schema Prescribed
64,pid_graph:AP3C1AFD6D,mistral-small,structure, EAN13        ,Predefined Identifier Structure
65,pid_graph:APD10FDBEC,mistral-small,governance, EAN13        ,Community Governance
66,pid_graph:AP7B099C82,mistral-small,metadata, EIDR          ,Metadata Schema per Entity
67,pid_graph:APB15DFFAA,mistral-small,structure, EIDR        ,Allows Managed Prefix
68,pid_graph:AP1773450F,mistral-small,governance, EIDR        ,Not found
69,pid_graph:AP4445DACF,mistral-small,metadata, eISSN          ,Not found
70,pid_graph:APCB7A3B7E,mistral-small,structure, eISSN        ,Not found
71,pid_graph:APCDE6893E,mistral-small,governance, eISSN        ,Community Governance
72,pid_graph:APC00BA80A,mistral-small,metadata, ePIC          ,Metadata Schema per Entity
73,pid_graph:APD84694B4,mistral-small,structure, ePIC        ,Allows Managed Prefix
74,pid_graph:AP00DEEC3B,mistral-small,governance, ePIC        ,Community Governance
75,pid_graph:AP12E9B149,mistral-small,metadata, EU PIC          ,Not found
76,pid_graph:APFDB24C35,mistral-small,structure, EU PIC        ,Allows Managed Prefix
77,pid_graph:APA86744C1,mistral-small,governance, EU PIC        ,Community Governance
78,pid_graph:AP33C465EC,mistral-small,metadata, GDS ID          ,Metadata Schema per Entity
79,pid_graph:APEC2D31B8,mistral-small,structure, GDS ID        ,Allows Managed Prefix
80,pid_graph:AP4A73C00C,mistral-small,governance, GDS ID        ,Unknown
81,pid_graph:AP34008A74,mistral-small,metadata, Gene ID          ,Metadata Schema per Entity
82,pid_graph:AP51CC5898,mistral-small,structure, Gene ID        ,Allows Managed Prefix
83,pid_graph:AP83233F83,mistral-small,governance, Gene ID        ,Unknown
84,pid_graph:AP132A08CC,mistral-small,metadata, Genome ID          ,Not found
85,pid_graph:APCF2A17B5,mistral-small,structure, Genome ID        ,Not found
86,pid_graph:AP7D9B7581,mistral-small,governance, Genome ID        ,Community Governance
87,pid_graph:AP68FBCBB8,mistral-small,metadata, GEO ID          ,Metadata Schema per Entity
88,pid_graph:AP273B9F67,mistral-small,structure, GEO ID        ,Predefined Identifier Structure
89,pid_graph:APB70EAE27,mistral-small,governance, GEO ID        ,Unknown
90,pid_graph:APFFFE37E3,mistral-small,metadata, GeoNames ID          ,Metadata Schema per Entity
91,pid_graph:APE556AE79,mistral-small,structure, GeoNames ID        ,Allows Managed Prefix
92,pid_graph:AP697BADFB,mistral-small,governance, GeoNames ID        ,Community Governance
93,pid_graph:APE0BED87D,mistral-small,metadata, GePRIS          ,Metadata Schema per Entity
94,pid_graph:APD9B32D23,mistral-small,structure, GePRIS        ,Allows Managed Prefix
95,pid_graph:AP74585E1A,mistral-small,governance, GePRIS        ,Community Governance
96,pid_graph:APF4C12F36,mistral-small,metadata, GitHub          ,No Metadata Schema Prescribed
97,pid_graph:AP87D86E04,mistral-small,structure, GitHub        ,Allows Managed Prefix
98,pid_graph:APA785EE3C,mistral-small,governance, GitHub        ,Unknown
99,pid_graph:AP96FC2D60,mistral-small,metadata, GitLab          ,No Metadata Schema Prescribed
100,pid_graph:AP7265AEBC,mistral-small,structure, GitLab        ,Not found
101,pid_graph:APCA39A4F2,mistral-small,governance, GitLab        ,Not found
102,pid_graph:AP142A570A,mistral-small,metadata, GND          ,Metadata Schema per Entity
103,pid_graph:APC82F7D49,mistral-small,structure, GND        ,Allows Managed Prefix
104,pid_graph:APDDBBE5D0,mistral-small,governance, GND        ,Community Governance
105,pid_graph:AP6511DA09,mistral-small,metadata, GRID          ,Metadata Schema per Entity
106,pid_graph:AP1928E87D,mistral-small,structure, GRID        ,Allows Managed Prefix
107,pid_graph:AP95265EDE,mistral-small,governance, GRID        ,Community Governance
108,pid_graph:AP84FD9F55,mistral-small,metadata, HAL article ID          ,Metadata Schema per Entity
109,pid_graph:AP2A7931D3,mistral-small,structure, HAL article ID        ,Allows Managed Prefix
110,pid_graph:AP510216FD,mistral-small,governance, HAL article ID        ,Community Governance
111,pid_graph:AP610BE4F9,mistral-small,metadata, Handle          ,No Metadata Schema Prescribed
112,pid_graph:AP424C18E8,mistral-small,structure, Handle        ,Allows Managed Prefix
113,pid_graph:APE29BBA2B,mistral-small,governance, Handle        ,Closed Governance
114,pid_graph:AP3EB6D63A,mistral-small,metadata, HomoloGene ID          ,Metadata Schema per Entity
115,pid_graph:AP7FF691E4,mistral-small,structure, HomoloGene ID        ,Allows User Semantics
116,pid_graph:AP852532BB,mistral-small,governance, HomoloGene ID        ,Unknown
117,pid_graph:AP60AD0C53,mistral-small,metadata, ICD          ,No Metadata Schema Prescribed
118,pid_graph:APAD9D9396,mistral-small,structure, ICD        ,Allows Managed Prefix
119,pid_graph:APA6033D20,mistral-small,governance, ICD        ,Unknown
120,pid_graph:AP5C6487E2,mistral-small,metadata, IdRef ID/SUDOC          ,Metadata Schema per Entity
121,pid_graph:AP0B4658F9,mistral-small,structure, IdRef ID/SUDOC        ,Allows User Semantics
122,pid_graph:AP3507981C,mistral-small,governance, IdRef ID/SUDOC        ,Community Governance
123,pid_graph:APE97AAABD,mistral-small,metadata, IGSN          ,Metadata Schema per Entity
124,pid_graph:AP46DC78FC,mistral-small,structure, IGSN        ,Allows Managed Prefix
125,pid_graph:APACB7960D,mistral-small,governance, IGSN        ,Community Governance
126,pid_graph:AP609D8398,mistral-small,metadata, IMDb company ID          ,No Metadata Schema Prescribed
127,pid_graph:APA088C1AD,mistral-small,structure, IMDb company ID        ,Allows User Semantics
128,pid_graph:AP446EE7E7,mistral-small,governance, IMDb company ID        ,Unknown
129,pid_graph:AP7C8DDF13,mistral-small,metadata, IMDb name ID          ,No Metadata Schema Prescribed
130,pid_graph:APF5A17453,mistral-small,structure, IMDb name ID        ,Allows User Semantics
131,pid_graph:APBB47AFE6,mistral-small,governance, IMDb name ID        ,Community Governance
132,pid_graph:AP892D6C62,mistral-small,metadata, IMDb title ID          ,No Metadata Schema Prescribed
133,pid_graph:APE5DD1194,mistral-small,structure, IMDb title ID        ,Not found
134,pid_graph:APB6C7F0DB,mistral-small,governance, IMDb title ID        ,Community Governance
135,pid_graph:AP6391055A,mistral-small,metadata, InChI          ,Metadata Schema per Entity
136,pid_graph:AP3E74644B,mistral-small,structure, InChI        ,Predefined Identifier Structure
137,pid_graph:AP00EE02FC,mistral-small,governance, InChI        ,Unknown
138,pid_graph:AP128A3EE9,mistral-small,metadata, InChiKey          ,Metadata Schema per Entity
139,pid_graph:AP5251AE8D,mistral-small,structure, InChiKey        ,Not found
140,pid_graph:APEFE133F5,mistral-small,governance, InChiKey        ,Community Governance
141,pid_graph:APAF28DCF5,mistral-small,metadata, ISLRN          ,Metadata Schema per Entity
142,pid_graph:AP4423D643,mistral-small,structure, ISLRN        ,Allows Managed Prefix
143,pid_graph:AP32117F8A,mistral-small,governance, ISLRN        ,Community Governance
144,pid_graph:AP21FC5DC4,mistral-small,metadata, JuFo-id          ,Metadata Schema per Entity
145,pid_graph:APB35FF4BA,mistral-small,structure, JuFo-id        ,Not found
146,pid_graph:APE3B93093,mistral-small,governance, JuFo-id        ,Community Governance
147,pid_graph:AP0E2829B6,mistral-small,metadata, Korean national author ID          ,Metadata Schema per Entity
148,pid_graph:AP0CE0EBD9,mistral-small,structure, Korean national author ID        ,Predefined Identifier Structure
149,pid_graph:AP6B132382,mistral-small,governance, Korean national author ID        ,Unknown
150,pid_graph:AP632C3D94,mistral-small,metadata, Korean national research ID          ,Metadata Schema per Entity
151,pid_graph:AP3B3FF0AA,mistral-small,structure, Korean national research ID        ,Allows Managed Prefix
152,pid_graph:AP6B9A714E,mistral-small,governance, Korean national research ID        ,Not found
153,pid_graph:AP2F3FCDDE,mistral-small,metadata, Korean research funding ID          ,Metadata Schema per Entity
154,pid_graph:APB1D2044E,mistral-small,structure, Korean research funding ID        ,Predefined Identifier Structure
155,pid_graph:APDD71706B,mistral-small,governance, Korean research funding ID        ,Community Governance
156,pid_graph:AP47384FBF,mistral-small,metadata, LCCN          ,Metadata Schema per Entity
157,pid_graph:APBF07F3CC,mistral-small,structure, LCCN        ,Not found
158,pid_graph:AP122C1488,mistral-small,governance, LCCN        ,Not found
159,pid_graph:AP55853235,mistral-small,metadata, Magnet          ,No Metadata Schema Prescribed
160,pid_graph:AP41AD7BAE,mistral-small,structure, Magnet        ,Unknown
161,pid_graph:APE5E1926A,mistral-small,governance, Magnet        ,Unknown
162,pid_graph:AP0B716BCB,mistral-small,metadata, MeSH ID                  ,Metadata Schema per Entity
163,pid_graph:AP7CA611D9,mistral-small,structure, MeSH ID                ,Allows Managed Prefix
164,pid_graph:AP4D09881A,mistral-small,governance, MeSH ID                ,Unknown
165,pid_graph:AP30A463D8,mistral-small,metadata, MMDB-ID          ,No Metadata Schema Prescribed
166,pid_graph:AP52345158,mistral-small,structure, MMDB-ID        ,Allows Managed Prefix
167,pid_graph:APD64605C9,mistral-small,governance, MMDB-ID        ,Community Governance
168,pid_graph:AP6E0DB368,mistral-small,metadata, NLM Catalog ID                  ,Metadata Schema per Entity
169,pid_graph:APCCD0E262,mistral-small,structure, NLM Catalog ID                ,Allows Managed Prefix
170,pid_graph:AP4222858D,mistral-small,governance, NLM Catalog ID                ,Unknown
171,pid_graph:AP49411E0E,mistral-small,metadata, Not Applicable          ,Common Metadata Schema for Identifier
172,pid_graph:AP0D15521B,mistral-small,structure, Not Applicable        ,Allows Managed Prefix
173,pid_graph:AP302A1CA2,mistral-small,governance, Not Applicable        ,Community Governance
174,pid_graph:AP7B9C3DC7,mistral-small,metadata, Nucleotide GI number          ,No Metadata Schema Prescribed
175,pid_graph:AP6CAE238D,mistral-small,structure, Nucleotide GI number        ,Allows Managed Prefix
176,pid_graph:AP68506C50,mistral-small,governance, Nucleotide GI number        ,Community Governance
177,pid_graph:AP37A52362,mistral-small,metadata, NZBN          ,Metadata Schema per Entity
178,pid_graph:AP9F5C6C5D,mistral-small,structure, NZBN        ,Allows Managed Prefix
179,pid_graph:APE78126F2,mistral-small,governance, NZBN        ,Community Governance
180,pid_graph:APBC034DF9,mistral-small,metadata, OCLC Control Number          ,No Metadata Schema Prescribed
181,pid_graph:AP7C10D0C0,mistral-small,structure, OCLC Control Number        ,Predefined Identifier Structure
182,pid_graph:AP5C16903E,mistral-small,governance, OCLC Control Number        ,Community Governance
183,pid_graph:APFC474516,mistral-small,metadata, OMID          ,Not found
184,pid_graph:APC7DA16A9,mistral-small,structure, OMID        ,Allows Managed Prefix
185,pid_graph:AP37516FFC,mistral-small,governance, OMID        ,Unknown
186,pid_graph:APD76B9284,mistral-small,metadata, OpenCitations Corpus          ,Metadata Schema per Entity
187,pid_graph:AP60BF8C1B,mistral-small,structure, OpenCitations Corpus        ,Allows Managed Prefix
188,pid_graph:AP941FF51B,mistral-small,governance, OpenCitations Corpus        ,Community Governance
189,pid_graph:AP4EABD272,mistral-small,metadata, OpenURL          ,No Metadata Schema Prescribed
190,pid_graph:AP815271C0,mistral-small,structure, OpenURL        ,Unknown
191,pid_graph:AP216CBC49,mistral-small,governance, OpenURL        ,Unknown
192,pid_graph:APB2517B08,mistral-small,metadata, ORCID          ,Metadata Schema per Entity
193,pid_graph:APB8D22945,mistral-small,structure, ORCID        ,Allows Managed Prefix
194,pid_graph:APC743A264,mistral-small,governance, ORCID        ,Community Governance
195,pid_graph:AP7B20FE40,mistral-small,metadata, PIC          ,No Metadata Schema Prescribed
196,pid_graph:AP51EE5E9B,mistral-small,structure, PIC        ,Unknown
197,pid_graph:APFE212E7F,mistral-small,governance, PIC        ,Unknown
198,pid_graph:APBFF9C745,mistral-small,metadata, PIDINST          ,No Metadata Schema Prescribed
199,pid_graph:APDD88850B,mistral-small,structure, PIDINST        ,Unknown
200,pid_graph:AP9CCCFE96,mistral-small,governance, PIDINST        ,Unknown
201,pid_graph:AP2AB57215,mistral-small,metadata, PMCID          ,Common Metadata Schema for Identifier
202,pid_graph:APA586E00A,mistral-small,structure, PMCID        ,Allows Managed Prefix
203,pid_graph:AP37162C1B,mistral-small,governance, PMCID        ,Community Governance
204,pid_graph:AP1D220902,mistral-small,metadata, PMID          ,No Metadata Schema Prescribed
205,pid_graph:AP4343D72D,mistral-small,structure, PMID        ,Allows Managed Prefix
206,pid_graph:APC23F3C24,mistral-small,governance, PMID        ,Unknown
207,pid_graph:APC0CBEB25,mistral-small,metadata, PopSet ID          ,Metadata Schema per Entity
208,pid_graph:AP94B919BA,mistral-small,structure, PopSet ID        ,Not found
209,pid_graph:AP69A01832,mistral-small,governance, PopSet ID        ,Community Governance
210,pid_graph:AP1AB0F7B7,mistral-small,metadata, Probe ID	          ,No Metadata Schema Prescribed
211,pid_graph:AP9EA78AFA,mistral-small,structure, Probe ID	        ,Allows Managed Prefix
212,pid_graph:AP900C9126,mistral-small,governance, Probe ID	        ,Community Governance
213,pid_graph:AP28D1F00C,mistral-small,metadata, Protein Cluster ID          ,Metadata Schema per Entity
214,pid_graph:APDD497119,mistral-small,structure, Protein Cluster ID        ,Allows User Semantics
215,pid_graph:AP12107133,mistral-small,governance, Protein Cluster ID        ,Unknown
216,pid_graph:AP0802FF5C,mistral-small,metadata, Protein GI number                  ,Metadata Schema per Entity
217,pid_graph:AP1EB0DC83,mistral-small,structure, Protein GI number                ,Predefined Identifier Structure
218,pid_graph:APAFAD0966,mistral-small,governance, Protein GI number                ,Community Governance
219,pid_graph:AP66E07F03,mistral-small,metadata, PSSM-ID          ,Metadata Schema per Entity
220,pid_graph:APAE0547CD,mistral-small,structure, PSSM-ID        ,Not found
221,pid_graph:AP6F9DB028,mistral-small,governance, PSSM-ID        ,Unknown
222,pid_graph:APDCE195AD,mistral-small,metadata, PURL          ,No Metadata Schema Prescribed
223,pid_graph:APF73E0DAA,mistral-small,structure, PURL        ,Allows Managed Prefix
224,pid_graph:AP5ABC7DDF,mistral-small,governance, PURL        ,Community Governance
225,pid_graph:AP14173AC0,mistral-small,metadata, QID          ,No Metadata Schema Prescribed
226,pid_graph:AP65069C58,mistral-small,structure, QID        ,Not found
227,pid_graph:AP63F81E07,mistral-small,governance, QID        ,Unknown
228,pid_graph:AP8AE8F619,mistral-small,metadata, QID / WDQID          ,Not found
229,pid_graph:APDD40AF5E,mistral-small,structure, QID / WDQID        ,Predefined Identifier Structure
230,pid_graph:APAB935BE9,mistral-small,governance, QID / WDQID        ,Community Governance
231,pid_graph:APAE9D81F3,mistral-small,metadata, RAI ID          ,No Metadata Schema Prescribed
232,pid_graph:APDC097A87,mistral-small,structure, RAI ID        ,Allows Managed Prefix
233,pid_graph:AP3978E3A6,mistral-small,governance, RAI ID        ,Unknown
234,pid_graph:AP059B125C,mistral-small,metadata, RAID          ,Not found
235,pid_graph:AP6BD601FA,mistral-small,structure, RAID        ,Unknown
236,pid_graph:AP84AD2147,mistral-small,governance, RAID        ,Unknown
237,pid_graph:AP9CFAE893,mistral-small,metadata, re3data          ,No Metadata Schema Prescribed
238,pid_graph:APBF1203AF,mistral-small,structure, re3data        ,Not found
239,pid_graph:AP769B3F8E,mistral-small,governance, re3data        ,Not found
240,pid_graph:AP9BE867A9,mistral-small,metadata, ResearcherID          ,Metadata Schema per Entity
241,pid_graph:AP949BE1EC,mistral-small,structure, ResearcherID        ,Allows Managed Prefix
242,pid_graph:AP6FCBCE07,mistral-small,governance, ResearcherID        ,Community Governance
243,pid_graph:AP03A9D713,mistral-small,metadata, RIN          ,Metadata Schema per Entity
244,pid_graph:AP324DE0FC,mistral-small,structure, RIN        ,Allows Managed Prefix
245,pid_graph:APAF279FD7,mistral-small,governance, RIN        ,Not found
246,pid_graph:AP5CCF198F,mistral-small,metadata, Ringgold ID          ,Metadata Schema per Entity
247,pid_graph:AP2E62E5CB,mistral-small,structure, Ringgold ID        ,Allows Managed Prefix
248,pid_graph:AP879BCAA2,mistral-small,governance, Ringgold ID        ,Community Governance
249,pid_graph:AP7B8B33E6,mistral-small,metadata, RoR          ,Unknown
250,pid_graph:AP7271404F,mistral-small,structure, RoR        ,Unknown
251,pid_graph:APC9BDA428,mistral-small,governance, RoR        ,Unknown
252,pid_graph:AP4DADA27B,mistral-small,metadata, rs number          ,Metadata Schema per Entity
253,pid_graph:AP85978866,mistral-small,structure, rs number        ,Allows Managed Prefix
254,pid_graph:AP66D4DC78,mistral-small,governance, rs number        ,Unknown
255,pid_graph:APA9245770,mistral-small,metadata, SBN/ ICCU          ,Metadata Schema per Entity
256,pid_graph:AP2338A450,mistral-small,structure, SBN/ ICCU        ,Allows Managed Prefix
257,pid_graph:AP01971BA5,mistral-small,governance, SBN/ ICCU        ,Community Governance
258,pid_graph:AP0F4B7F4C,mistral-small,metadata, ScopusAuthorID          ,No Metadata Schema Prescribed
259,pid_graph:APCE153839,mistral-small,structure, ScopusAuthorID        ,Allows Managed Prefix
260,pid_graph:AP8F7FA11A,mistral-small,governance, ScopusAuthorID        ,Community Governance
261,pid_graph:APA35006A2,mistral-small,metadata, SF-edu-ID          ,Unknown
262,pid_graph:AP79FC73D5,mistral-small,structure, SF-edu-ID        ,Allows Managed Prefix
263,pid_graph:AP290819B5,mistral-small,governance, SF-edu-ID        ,Unknown
264,pid_graph:AP90A186FD,mistral-small,metadata, SID          ,No Metadata Schema Prescribed
265,pid_graph:APCF6BE71D,mistral-small,structure, SID        ,Allows Managed Prefix
266,pid_graph:AP70A617F5,mistral-small,governance, SID        ,Not found
267,pid_graph:AP1B1D0E4F,mistral-small,metadata, SRA ID	          ,Metadata Schema per Entity
268,pid_graph:AP09254E08,mistral-small,structure, SRA ID	        ,Allows Managed Prefix
269,pid_graph:AP0F50BF8B,mistral-small,governance, SRA ID	        ,Community Governance
270,pid_graph:AP71653E35,mistral-small,metadata, SWHID          ,Metadata Schema per Entity
271,pid_graph:AP93937370,mistral-small,structure, SWHID        ,Allows Managed Prefix
272,pid_graph:AP78688CA3,mistral-small,governance, SWHID        ,Community Governance
273,pid_graph:APDFB3117E,mistral-small,metadata, swMath          ,No Metadata Schema Prescribed
274,pid_graph:APACDD001A,mistral-small,structure, swMath        ,Allows Managed Prefix
275,pid_graph:AP1734A0AC,mistral-small,governance, swMath        ,Community Governance
276,pid_graph:AP55930B14,mistral-small,metadata, TaxID          ,No Metadata Schema Prescribed
277,pid_graph:APA583982C,mistral-small,structure, TaxID        ,Allows Managed Prefix
278,pid_graph:APB2E33BD6,mistral-small,governance, TaxID        ,Not found
279,pid_graph:APBE93E99D,mistral-small,metadata, Toolkit ID          ,No Metadata Schema Prescribed
280,pid_graph:AP09AB6402,mistral-small,structure, Toolkit ID        ,Allows Managed Prefix
281,pid_graph:AP4E376598,mistral-small,governance, Toolkit ID        ,Unknown
282,pid_graph:AP28424849,mistral-small,metadata, UID          ,No Metadata Schema Prescribed
283,pid_graph:AP2FDE5AAB,mistral-small,structure, UID        ,No Prefix
284,pid_graph:APF7D71740,mistral-small,governance, UID        ,Unknown
285,pid_graph:AP8E871AFF,mistral-small,metadata, ULAN ID          ,Not found
286,pid_graph:AP6618D977,mistral-small,structure, ULAN ID        ,Allows Managed Prefix
287,pid_graph:AP396D6163,mistral-small,governance, ULAN ID        ,Community Governance
288,pid_graph:AP1F09D249,mistral-small,metadata, UPC          ,No Metadata Schema Prescribed
289,pid_graph:AP9EC681FC,mistral-small,structure, UPC        ,Predefined Identifier Structure
290,pid_graph:AP5F4AD554,mistral-small,governance, UPC        ,Unknown
291,pid_graph:APD8F0A4CA,mistral-small,metadata, URI          ,No Metadata Schema Prescribed
292,pid_graph:APC76AB167,mistral-small,structure, URI        ,Allows Managed Prefix
293,pid_graph:APB5368E42,mistral-small,governance, URI        ,Community Governance
294,pid_graph:APD796BB9E,mistral-small,metadata, URL          ,No Metadata Schema Prescribed
295,pid_graph:APE1737E40,mistral-small,structure, URL        ,Predefined Identifier Structure
296,pid_graph:AP1349ECAE,mistral-small,governance, URL        ,Community Governance
297,pid_graph:APB1A056FF,mistral-small,metadata, URN          ,No Metadata Schema Prescribed
298,pid_graph:AP2FAFC74E,mistral-small,structure, URN        ,Not found
299,pid_graph:AP09B23B5E,mistral-small,governance, URN        ,Unknown
300,pid_graph:AP0C594298,mistral-small,metadata, URN: ISNI          ,Metadata Schema per Entity
301,pid_graph:AP2BA726F9,mistral-small,structure, URN: ISNI        ,Allows Managed Prefix
302,pid_graph:AP6765B929,mistral-small,governance, URN: ISNI        ,Community Governance
303,pid_graph:AP6D060DE4,mistral-small,metadata, URN:ISAN          ,Metadata Schema per Entity
304,pid_graph:APCEBE9211,mistral-small,structure, URN:ISAN        ,Allows Managed Prefix
305,pid_graph:AP0956DE5F,mistral-small,governance, URN:ISAN        ,Community Governance
306,pid_graph:AP4FE59076,mistral-small,metadata, URN:ISBN          ,Common Metadata Schema for Identifier
307,pid_graph:AP98B81BD7,mistral-small,structure, URN:ISBN        ,Allows Managed Prefix
308,pid_graph:APCE3EE5A0,mistral-small,governance, URN:ISBN        ,Membership Governance
309,pid_graph:AP603C00B3,mistral-small,metadata, URN:ISMN          ,Metadata Schema per Entity
310,pid_graph:AP6D2BB6A8,mistral-small,structure, URN:ISMN        ,Allows Managed Prefix
311,pid_graph:AP212B4E47,mistral-small,governance, URN:ISMN        ,Community Governance
312,pid_graph:APF936BEF0,mistral-small,metadata, URN:ISRC          ,Common Metadata Schema for Identifier
313,pid_graph:AP7362A32F,mistral-small,structure, URN:ISRC        ,Not found
314,pid_graph:APFDEF14E9,mistral-small,governance, URN:ISRC        ,Community Governance
315,pid_graph:AP155EA865,mistral-small,metadata, URN:ISSN          ,Common Metadata Schema for Identifier
316,pid_graph:APF88A7693,mistral-small,structure, URN:ISSN        ,Allows Managed Prefix
317,pid_graph:AP41C5B685,mistral-small,governance, URN:ISSN        ,Community Governance
318,pid_graph:APEF17548B,mistral-small,metadata, URN:ISTC          ,No Metadata Schema Prescribed
319,pid_graph:APFA24BA4E,mistral-small,structure, URN:ISTC        ,Not found
320,pid_graph:AP66974FFA,mistral-small,governance, URN:ISTC        ,Not found
321,pid_graph:AP101293C2,mistral-small,metadata, URN:LSID          ,Metadata Schema per Entity
322,pid_graph:APA37291CC,mistral-small,structure, URN:LSID        ,Allows Managed Prefix
323,pid_graph:APE4F35D22,mistral-small,governance, URN:LSID        ,Community Governance
324,pid_graph:APFBBDC875,mistral-small,metadata, URN:NBN          ,Metadata Schema per Entity
